# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.001         	((7.885001e+03 8.882352e-03 -2.120970e+02) (1.136185e+00 2.925986e-06 9.472678e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.166539e+03 4.187722e+03 -4.336747e+04) (5.209832e-02 7.050452e-01 -6.249007e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.002         	((4.682801e+01 -9.977547e-03 3.371952e+01) (1.146954e+00 2.259460e-06 1.251504e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.854634e+02 -9.286094e+01 -2.575901e+02) (6.883144e-02 7.017212e-01 -6.308237e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.003         	((4.694488e+01 2.780427e-06 3.293521e+01) (1.243031e+00 -2.815466e-06 1.678837e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.811437e+02 -9.008145e+01 -2.581968e+02) (9.233627e-02 7.457703e-01 -6.836673e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.004         	((5.090667e+01 -3.627301e-03 3.312663e+01) (1.460375e+00 -5.917892e-06 2.352306e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.821979e+02 -8.852084e+01 -2.799989e+02) (1.293779e-01 8.531371e-01 -8.032072e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((5.470064e+01 -3.543161e-03 3.327363e+01) (1.784538e+00 -7.895584e-06 3.306425e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.830064e+02 -8.689864e+01 -3.008654e+02) (1.818549e-01 1.011852e+00 -9.814973e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.006         	((5.831010e+01 -3.493998e-03 3.338735e+01) (2.197308e+00 -8.625700e-06 4.543184e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.836319e+02 -8.526247e+01 -3.207174e+02) (2.498767e-01 1.214159e+00 -1.208521e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.007         	((6.170248e+01 -3.407586e-03 3.347072e+01) (2.674810e+00 -5.570051e-06 6.096786e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.840904e+02 -8.363690e+01 -3.393753e+02) (3.353238e-01 1.451279e+00 -1.471146e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.008         	((6.484442e+01 -3.161020e-03 3.352619e+01) (3.174650e+00 -1.984856e-06 7.963030e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.843953e+02 -8.204561e+01 -3.566552e+02) (4.379662e-01 1.698549e+00 -1.746057e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.009         	((6.771106e+01 -2.721178e-03 3.355756e+01) (3.661751e+00 1.794232e-06 9.965802e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.845677e+02 -8.051460e+01 -3.724201e+02) (5.481175e-01 1.931284e+00 -2.013961e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((7.028656e+01 -2.518976e-03 3.356384e+01) (4.144585e+00 4.894576e-06 1.208778e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.846022e+02 -7.904614e+01 -3.865848e+02) (6.648250e-01 2.158850e+00 -2.279519e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
