Points (mm),meanU (m/s),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
5,6.10615,1.70485,-0.5476,0,0.426213719,0,1.091107122,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
15,6.65019,2.14277,-0.5476,0,0.535692485,0,1.371372762,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
25,6.99221,2.40839,-0.5476,0,0.60209852,0,1.54137221,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
35,7.50489,2.70018,-0.5476,0,0.675044089,0,1.728112867,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
45,7.91625,2.61599,-0.5476,0,0.65399764,0,1.674233959,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
55,8.47772,2.47785,-0.5476,0,0.619461755,0,1.585822094,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
65,8.78113,2.24627,-0.5476,0,0.561567692,0,1.437613292,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
75,9.07636,2.23078,-0.5476,0,0.557696237,0,1.427702367,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
85,9.33737,1.99256,-0.5476,0,0.498140738,0,1.27524029,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
95,9.48627,2.1042,-0.5476,0,0.526050658,0,1.346689685,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
105,9.7285,2.04253,-0.5476,0,0.510632936,0,1.307220316,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
115,9.84086,2.02508,-0.5476,0,0.506269972,0,1.296051129,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
125,10.04955,2.01356,-0.5476,0,0.503388819,0,1.288675377,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
135,10.19805,1.9314,-0.5476,0,0.482850788,0,1.236098018,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
145,10.31453,2.00001,-0.5476,0,0.500002014,0,1.280005156,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
155,10.40455,2.04469,-0.5476,0,0.511171372,0,1.308598712,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
165,10.43987,1.88212,-0.5476,0,0.470529385,0,1.204555225,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
