Points (mm),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
5,1.70485,-0.5476,0,0.23006,0,1.99295,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
15,2.14277,-0.5476,0,0.5923,0,1.75185,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
25,2.40839,-0.5476,0,0.70878,0,1.35363,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
35,2.70018,-0.5476,0,0.68179,0,1.21117,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
45,2.61599,-0.5476,0,0.59131,0,1.07425,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
55,2.47785,-0.5476,0,0.53339,0,1.02333,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
65,2.24627,-0.5476,0,0.50905,0,0.9556,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
75,2.23078,-0.5476,0,0.51765,0,0.94121,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
85,1.99256,-0.5476,0,0.50588,0,0.90624,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
95,2.1042,-0.5476,0,0.51697,0,0.86639,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
105,2.04253,-0.5476,0,0.52033,0,0.86075,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
115,2.02508,-0.5476,0,0.52311,0,0.85759,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
125,2.01356,-0.5476,0,0.52941,0,0.82809,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
135,1.9314,-0.5476,0,0.53482,0,0.80242,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
145,2.00001,-0.5476,0,0.54913,0,0.80683,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
155,2.04469,-0.5476,0,0.5442,0,0.77893,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
165,1.88212,-0.5476,0,0.54325,0,0.77462,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
175,1.81175,-0.5476,0,0.52716,0,0.74586,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
185,1.92101,-0.5476,0,0.54114,0,0.75364,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
195,1.80193,-0.5476,0,0.5363,0,0.74807,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
205,1.85801,-0.5476,0,0.54314,0,0.74363,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
215,1.72479,-0.5476,0,0.52044,0,0.71862,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
225,1.74177,-0.5476,0,0.51785,0,0.74095,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
235,1.75986,-0.5476,0,0.53593,0,0.7142,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
245,1.69647,-0.5476,0,0.52271,0,0.69695,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
255,1.67041,-0.5476,0,0.51503,0,0.67885,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
265,1.59833,-0.5476,0,0.49637,0,0.68883,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
275,1.54413,-0.5476,0,0.49503,0,0.67735,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
285,1.61283,-0.5476,0,0.50207,0,0.66252,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
295,1.5261,-0.5476,0,0.48809,0,0.64286,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
305,1.53528,-0.5476,0,0.48586,0,0.64294,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
315,1.52965,-0.5476,0,0.46719,0,0.62241,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
325,1.4231,-0.5476,0,0.46256,0,0.61031,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
335,1.52355,-0.5476,0,0.47061,0,0.62925,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
345,1.42219,-0.5476,0,0.44922,0,0.59898,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
355,1.38311,-0.5476,0,0.46279,0,0.58417,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
365,1.39691,-0.5476,0,0.45193,0,0.58053,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
375,1.32049,-0.5476,0,0.44227,0,0.55735,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
385,1.2839,-0.5476,0,0.41998,0,0.57028,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
395,1.30708,-0.5476,0,0.42533,0,0.54476,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
405,1.28699,-0.5476,0,0.41882,0,0.52666,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
415,1.29388,-0.5476,0,0.43115,0,0.5439,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
425,1.18511,-0.5476,0,0.39453,0,0.5097,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
435,1.18261,-0.5476,0,0.39539,0,0.49929,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
445,1.1569,-0.5476,0,0.38507,0,0.50452,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
455,1.20385,-0.5476,0,0.38668,0,0.48156,0.61,0.1647,0.1708,0.122,0.0366,0.0427,0.2806,0.0854,0.1952
